Order_ID,Order_Date,Product,Category,Region,Sales_Representative,Quantity,Cost_Amount,Sales_Amount
100040,2023-07-19,Mouse,Accessories,South,Rahul,2,50022,63118.09
100041,2024-06-16,Camera,Electronics,West,Karan,1,33927,49992.27
100042,2022-04-02,Mouse,Accessories,West,Anjali,4,76024,89557.47
100043,2024-08-13,Tablet,Electronics,West,Vikram,2,57790,83074.08
100044,2023-05-24,Smartwatch,Wearables,North,Amit,3,82878,118292.35
100045,2024-02-15,Smartphone,Electronics,North,Anjali,4,119864,179140.57
100046,2022-02-04,Smartwatch,Wearables,East,Amit,2,36940,44796.13
100047,2022-07-25,Laptop,Electronics,South,Priya,1,5182,6353.81
100048,2024-10-22,Mouse,Accessories,East,Anjali,2,22878,33428.22
100049,2024-10-18,Keyboard,Accessories,South,Sneha,3,27978,33395.43
100050,2023-07-20,Smartphone,Electronics,East,Neha,4,95484,125958.71
100051,2023-12-04,Headphones,Accessories,East,Neha,4,121784,168419.72
100052,2023-02-06,Mouse,Accessories,West,Rahul,4,99436,120193.63
100053,2023-12-31,Tablet,Electronics,West,Karan,3,59298,87486.2
100054,2022-06-11,Tablet,Electronics,West,Anjali,1,38517,52624.97
100055,2022-07-21,Mouse,Accessories,West,Amit,4,78780,88143.45
100056,2024-09-22,Mouse,Accessories,West,Vikram,1,27815,32106.72
100057,2022-09-27,Mouse,Accessories,East,Sneha,2,37536,44154.07
100058,2024-03-26,Headphones,Accessories,South,Neha,1,10210,12231.41
100059,2023-04-01,Laptop,Electronics,North,Karan,1,14661,20412.08
100060,2024-10-13,Headphones,Accessories,North,Karan,4,129284,146811.56
100061,2022-10-23,Camera,Electronics,South,Anjali,5,51145,63431.97
100062,2023-12-21,Keyboard,Accessories,North,Amit,5,137065,200739.0
100063,2022-12-04,Mouse,Accessories,East,Anjali,3,68052,90010.14
100064,2024-05-28,Keyboard,Accessories,South,Anjali,3,71337,86046.59
100065,2024-12-12,Laptop,Electronics,South,Sneha,5,135350,200700.03
100066,2024-03-02,Smartphone,Electronics,North,Karan,2,71266,85357.17
100067,2022-08-05,Headphones,Accessories,North,Neha,4,54780,80090.54
100068,2024-02-03,Laptop,Electronics,East,Priya,4,70952,98645.12
100069,2022-07-07,Keyboard,Accessories,West,Neha,2,32104,44823.87
100070,2023-01-15,Smartphone,Electronics,South,Sneha,2,6456,9076.98
100071,2023-05-08,Headphones,Accessories,West,Priya,5,120285,156686.58
100072,2024-11-30,Tablet,Electronics,North,Vikram,3,16314,23261.01
100073,2022-01-15,Headphones,Accessories,South,Vikram,2,63404,90951.59
100074,2022-03-06,Smartwatch,Wearables,West,Karan,3,1893,2355.26
100075,2023-06-05,Headphones,Accessories,East,Neha,1,26192,33005.53
100076,2023-10-10,Smartwatch,Wearables,East,Amit,4,81908,119217.31
100077,2024-12-22,Smartphone,Electronics,East,Sneha,5,167805,219806.38
100078,2023-08-16,Headphones,Accessories,South,Karan,4,111056,160673.31
100079,2023-01-27,Smartphone,Electronics,South,Amit,5,130375,176098.53
100080,2023-02-23,Smartphone,Electronics,South,Priya,1,15227,20365.0
100081,2022-10-16,Keyboard,Accessories,South,Vikram,4,43952,48891.87
100082,2023-01-14,Laptop,Electronics,South,Rahul,1,20569,24912.3
100083,2022-08-19,Smartphone,Electronics,West,Rahul,5,124500,161952.47
100084,2024-10-14,Smartphone,Electronics,West,Priya,2,49292,65801.22
100085,2022-02-10,Keyboard,Accessories,East,Rahul,4,29384,39732.28
100086,2024-11-17,Keyboard,Accessories,West,Anjali,1,24194,33544.72
100087,2022-05-15,Headphones,Accessories,West,Sneha,4,88960,121207.41
100088,2022-07-20,Keyboard,Accessories,East,Anjali,4,125984,181345.24
100089,2024-02-19,Headphones,Accessories,East,Karan,4,130500,158973.55
100090,2024-07-18,Tablet,Electronics,North,Karan,3,70410,95520.18
100091,2024-11-22,Keyboard,Accessories,East,Sneha,1,11395,12767.69
100092,2024-12-07,Laptop,Electronics,West,Neha,1,38571,49836.66
100093,2023-05-18,Smartphone,Electronics,South,Karan,4,91032,109895.03
100094,2023-02-11,Laptop,Electronics,East,Vikram,2,47708,59747.35
100095,2024-03-15,Smartwatch,Wearables,North,Rahul,4,124564,154691.68
100096,2022-04-09,Mouse,Accessories,West,Vikram,3,26832,30163.79
100097,2023-11-15,Keyboard,Accessories,North,Sneha,5,50555,65047.01
100098,2023-12-27,Smartphone,Electronics,North,Amit,3,33084,49554.93
100099,2024-08-18,Laptop,Electronics,West,Anjali,2,2998,3656.28
100100,2023-09-05,Keyboard,Accessories,North,Neha,4,17040,23761.57
100101,2023-10-05,Keyboard,Accessories,West,Amit,1,37384,49313.81
100102,2024-10-25,Mouse,Accessories,North,Vikram,4,150716,185394.26
100103,2023-05-18,Tablet,Electronics,South,Rahul,2,44882,50978.9
100104,2024-02-06,Tablet,Electronics,East,Vikram,1,26522,31464.19
100105,2023-02-02,Smartphone,Electronics,South,Amit,3,110853,156606.62
100106,2024-05-20,Smartwatch,Wearables,South,Rahul,5,135105,163694.31
100107,2024-03-05,Tablet,Electronics,North,Karan,5,150695,174462.77
100108,2023-01-28,Mouse,Accessories,East,Neha,4,140484,173149.25
100109,2022-07-26,Tablet,Electronics,East,Priya,3,95847,127823.21
100110,2024-11-04,Smartwatch,Wearables,East,Rahul,2,27158,37515.66
100111,2024-06-10,Laptop,Electronics,North,Sneha,5,36975,46401.63
100112,2024-05-13,Tablet,Electronics,South,Sneha,3,85437,111004.78
100113,2024-01-13,Mouse,Accessories,West,Karan,4,52208,66928.92
100114,2023-07-18,Headphones,Accessories,West,Sneha,1,27894,30783.86
100115,2024-10-17,Mouse,Accessories,West,Amit,4,131104,164960.32
100116,2022-04-06,Camera,Electronics,East,Karan,4,136520,182244.36
100117,2023-04-30,Camera,Electronics,West,Sneha,3,15081,20027.23
100118,2022-08-19,Tablet,Electronics,South,Amit,5,63735,89223.07
100119,2024-01-19,Laptop,Electronics,West,Amit,3,54309,74302.88
100120,2023-06-25,Keyboard,Accessories,East,Amit,1,37063,44873.02
100121,2024-11-25,Laptop,Electronics,East,Sneha,3,3081,3704.16
100122,2023-06-09,Mouse,Accessories,West,Anjali,2,6844,8799.03
100123,2023-08-01,Smartphone,Electronics,East,Amit,4,25396,35381.4
100124,2023-11-13,Headphones,Accessories,West,Vikram,5,154000,175179.76
100125,2023-07-11,Laptop,Electronics,East,Neha,1,28280,41835.47
100126,2024-10-09,Smartwatch,Wearables,North,Sneha,4,114560,150905.45
100127,2023-10-08,Mouse,Accessories,North,Amit,3,53190,65028.15
100128,2024-03-06,Headphones,Accessories,South,Neha,2,54386,74908.91
100129,2024-11-17,Camera,Electronics,North,Vikram,3,22377,25015.03
100130,2022-07-09,Mouse,Accessories,West,Priya,4,145416,188133.22
100131,2023-09-25,Headphones,Accessories,East,Neha,1,20167,26103.92
100132,2023-09-20,Smartwatch,Wearables,South,Sneha,5,134505,156670.09
100133,2024-08-30,Tablet,Electronics,West,Sneha,4,15292,21943.33
100134,2023-12-11,Smartwatch,Wearables,West,Amit,1,945,1340.69
100135,2023-10-11,Smartwatch,Wearables,South,Vikram,4,71636,83176.06
100136,2022-11-14,Tablet,Electronics,South,Anjali,2,20926,26063.98
100137,2023-11-15,Tablet,Electronics,West,Vikram,3,47811,54512.76
100138,2023-10-26,Tablet,Electronics,East,Vikram,5,86775,124907.71
100139,2023-03-18,Tablet,Electronics,West,Sneha,1,16911,20789.17
100140,2023-07-18,Tablet,Electronics,East,Priya,5,56735,72378.34
100141,2024-08-09,Smartwatch,Wearables,South,Vikram,5,18680,22967.97
100142,2023-11-30,Smartphone,Electronics,West,Anjali,5,69935,85601.17
100143,2022-04-23,Smartphone,Electronics,North,Karan,1,12348,17273.88
100144,2022-01-02,Mouse,Accessories,West,Neha,1,13655,19103.71
100145,2023-10-04,Laptop,Electronics,East,Karan,5,58775,76825.7
100146,2022-08-08,Smartphone,Electronics,West,Priya,3,7437,10136.98
100147,2024-05-04,Camera,Electronics,East,Neha,4,87220,113792.91
100148,2023-01-20,Smartphone,Electronics,North,Amit,5,47535,52832.1
100149,2024-12-12,Smartwatch,Wearables,South,Neha,2,71188,80186.35
100150,2023-12-31,Tablet,Electronics,North,Amit,5,177990,223109.79
100151,2022-09-04,Mouse,Accessories,East,Rahul,1,24530,34339.51
100152,2024-04-15,Tablet,Electronics,South,Neha,4,137080,200862.02
100153,2022-07-22,Keyboard,Accessories,South,Anjali,2,20468,22758.03
100154,2022-05-03,Keyboard,Accessories,West,Neha,4,27792,34662.52
100155,2023-02-05,Keyboard,Accessories,North,Anjali,4,51584,61359.84
100156,2024-02-06,Smartwatch,Wearables,East,Karan,2,56762,80947.27
100157,2022-10-21,Camera,Electronics,East,Karan,5,158385,227818.97
100158,2022-10-07,Smartphone,Electronics,South,Priya,5,178985,211661.14
100159,2024-06-02,Smartwatch,Wearables,West,Amit,5,185900,257347.11
100160,2022-07-17,Laptop,Electronics,East,Sneha,3,55248,76944.02
100161,2024-09-08,Mouse,Accessories,West,Karan,5,158695,185803.77
100162,2024-01-22,Tablet,Electronics,South,Anjali,2,69378,88351.38
100163,2022-05-24,Keyboard,Accessories,South,Anjali,3,42030,56662.12
100164,2023-09-01,Headphones,Accessories,South,Vikram,5,127330,141390.62
100165,2022-07-06,Laptop,Electronics,West,Priya,3,67956,85749.38
100166,2023-04-09,Keyboard,Accessories,East,Amit,2,39404,45786.79
100167,2023-10-22,Camera,Electronics,North,Anjali,5,134725,177400.3
100168,2024-02-03,Laptop,Electronics,West,Amit,1,11652,16745.87
100169,2024-08-12,Smartwatch,Wearables,South,Amit,2,12234,16025.34
100170,2023-02-07,Smartphone,Electronics,North,Rahul,4,6780,7555.59
100171,2022-05-27,Tablet,Electronics,North,Amit,4,157988,175661.0
100172,2024-05-13,Mouse,Accessories,North,Anjali,2,51866,69614.61
100173,2023-05-04,Camera,Electronics,North,Anjali,4,23220,28588.29
100174,2024-07-17,Camera,Electronics,North,Priya,2,17154,22798.81
100175,2023-07-05,Headphones,Accessories,South,Amit,1,31885,37160.53
100176,2022-12-04,Laptop,Electronics,East,Anjali,2,76936,108537.07
100177,2024-05-21,Headphones,Accessories,North,Sneha,5,167810,242365.95
100178,2023-10-03,Smartphone,Electronics,East,Sneha,5,32985,48015.94
100179,2023-04-18,Keyboard,Accessories,East,Anjali,3,119040,145422.82
100180,2022-05-31,Smartphone,Electronics,West,Amit,4,28712,39171.61
100181,2022-09-20,Keyboard,Accessories,South,Priya,4,130484,158096.63
100182,2022-05-24,Headphones,Accessories,North,Neha,2,43808,61554.74
100183,2022-12-12,Tablet,Electronics,East,Amit,4,24972,28673.1
100184,2023-09-16,Smartphone,Electronics,West,Priya,5,84970,119391.85
100185,2024-10-13,Headphones,Accessories,East,Karan,1,10178,12986.02
100186,2024-05-30,Laptop,Electronics,North,Priya,2,76264,109989.45
100187,2022-01-02,Headphones,Accessories,South,Rahul,4,8592,11990.76
100188,2024-06-15,Headphones,Accessories,South,Karan,5,80885,101155.42
100189,2022-09-11,Smartwatch,Wearables,North,Sneha,3,69795,101999.51
100190,2023-03-29,Smartphone,Electronics,East,Sneha,4,11524,13982.47
100191,2024-11-26,Mouse,Accessories,West,Neha,1,16989,25259.17
100192,2024-10-11,Tablet,Electronics,South,Neha,1,12245,17227.26
100193,2022-01-09,Tablet,Electronics,South,Priya,4,25272,37813.73
100194,2024-03-26,Smartwatch,Wearables,East,Priya,4,134596,150957.74
100195,2022-07-27,Keyboard,Accessories,East,Amit,5,139060,168208.98
100196,2023-02-08,Camera,Electronics,East,Vikram,4,150496,210168.52
100197,2022-06-01,Keyboard,Accessories,West,Vikram,3,117558,172680.93
100198,2022-02-23,Tablet,Electronics,East,Amit,5,9080,10092.5
100199,2023-09-20,Headphones,Accessories,West,Sneha,2,11908,13098.84
100200,2023-08-10,Smartwatch,Wearables,North,Rahul,3,40821,49087.13
100201,2022-04-14,Laptop,Electronics,West,Vikram,5,22870,32958.22
100202,2022-09-11,Smartphone,Electronics,East,Amit,5,108440,152560.03
100203,2023-05-25,Smartphone,Electronics,West,Sneha,1,32468,40134.05
100204,2022-04-09,Mouse,Accessories,West,Priya,5,118010,129905.94
100205,2022-06-02,Smartphone,Electronics,West,Anjali,3,97371,128713.0
100206,2024-07-02,Headphones,Accessories,South,Vikram,4,53488,63927.9
100207,2024-05-27,Laptop,Electronics,East,Priya,3,26547,37119.17
100208,2022-12-04,Smartwatch,Wearables,West,Amit,2,40386,51635.11
100209,2024-04-01,Smartwatch,Wearables,East,Vikram,5,165635,227158.59
100210,2024-08-14,Smartphone,Electronics,North,Rahul,5,56300,81123.99
100211,2022-06-10,Laptop,Electronics,West,Sneha,5,60420,79410.24
100212,2024-03-11,Laptop,Electronics,West,Priya,5,13030,16084.0
100213,2023-02-02,Laptop,Electronics,North,Sneha,1,14169,19947.37
100214,2024-03-26,Tablet,Electronics,East,Rahul,1,25723,31023.86
100215,2023-02-05,Tablet,Electronics,North,Priya,4,144824,210951.73
100216,2023-10-02,Smartphone,Electronics,North,Sneha,5,14915,16832.64
100217,2024-11-22,Laptop,Electronics,North,Anjali,2,55964,80262.87
100218,2023-11-19,Camera,Electronics,North,Rahul,4,138572,157504.02
100219,2023-04-05,Laptop,Electronics,East,Rahul,5,123700,138847.66
100220,2024-08-12,Smartwatch,Wearables,West,Rahul,1,10515,13094.36
100221,2023-04-15,Smartwatch,Wearables,North,Amit,2,34256,50788.62
100222,2024-11-11,Smartphone,Electronics,North,Neha,4,103772,154972.53
100223,2024-01-20,Camera,Electronics,South,Sneha,2,62638,73964.72
100224,2022-02-07,Laptop,Electronics,East,Rahul,5,77800,90205.6
100225,2022-08-18,Keyboard,Accessories,North,Sneha,3,83811,104024.65
100226,2023-07-17,Camera,Electronics,South,Rahul,2,22308,27546.69
100227,2023-03-14,Mouse,Accessories,North,Sneha,2,29506,41421.62
100228,2022-01-27,Smartphone,Electronics,East,Priya,1,12065,15414.24
100229,2022-08-14,Smartwatch,Wearables,South,Sneha,5,140485,198358.28
100230,2024-03-08,Keyboard,Accessories,South,Vikram,2,56536,79121.3
100231,2022-10-11,Smartwatch,Wearables,East,Neha,5,2935,3907.44
100232,2024-05-28,Tablet,Electronics,South,Priya,1,9932,14236.58
100233,2024-08-17,Smartphone,Electronics,South,Anjali,5,46320,54576.96
100234,2023-03-29,Smartphone,Electronics,North,Priya,1,678,789.68
100235,2024-10-16,Laptop,Electronics,South,Rahul,1,26801,37528.37
100236,2024-03-26,Laptop,Electronics,West,Karan,4,143632,172059.48
100237,2023-10-21,Tablet,Electronics,East,Vikram,5,162065,178452.65
100238,2023-07-01,Keyboard,Accessories,North,Anjali,3,57696,84512.18
100239,2024-12-08,Mouse,Accessories,South,Neha,4,11684,15763.76
100240,2022-01-17,Headphones,Accessories,West,Priya,1,21026,26870.7
100241,2022-06-07,Camera,Electronics,North,Karan,3,86451,120192.36
100242,2023-04-22,Headphones,Accessories,East,Karan,2,3434,4235.26
100243,2024-12-05,Headphones,Accessories,South,Priya,2,71484,105901.15
100244,2023-06-02,Smartphone,Electronics,East,Rahul,4,5716,6444.49
100245,2022-04-09,Camera,Electronics,East,Amit,3,104310,141483.92
100246,2024-11-26,Smartphone,Electronics,South,Priya,5,168440,237654.66
100247,2022-10-07,Mouse,Accessories,South,Rahul,3,42240,54390.35
100248,2023-05-12,Camera,Electronics,North,Neha,4,156392,219259.6
100249,2022-10-29,Smartwatch,Wearables,East,Rahul,5,154655,227461.03
100250,2022-06-30,Smartphone,Electronics,South,Karan,5,106210,148438.84
100251,2023-08-30,Smartphone,Electronics,East,Vikram,2,36666,44869.9
100252,2023-12-01,Smartphone,Electronics,South,Vikram,3,94155,124730.76
100253,2024-09-19,Keyboard,Accessories,East,Neha,5,31555,46216.76
100254,2022-07-10,Tablet,Electronics,North,Anjali,4,36476,46676.12
100255,2022-09-10,Smartphone,Electronics,East,Vikram,2,49510,67961.36
100256,2024-09-07,Mouse,Accessories,South,Neha,5,127360,163811.18
100257,2024-07-16,Laptop,Electronics,West,Amit,3,42081,48331.61
100258,2022-05-08,Laptop,Electronics,North,Anjali,2,66748,74987.31
100259,2022-01-18,Camera,Electronics,North,Amit,3,13647,20209.97
100260,2023-07-20,Smartwatch,Wearables,West,Priya,3,7209,9696.23
100261,2023-07-24,Tablet,Electronics,South,Vikram,3,17628,20122.82
100262,2023-11-17,Keyboard,Accessories,North,Rahul,2,1084,1564.19
100263,2023-09-18,Camera,Electronics,West,Priya,5,116345,152304.59
100264,2024-05-03,Laptop,Electronics,West,Amit,1,2077,2926.02
100265,2024-08-19,Tablet,Electronics,East,Karan,5,64410,74116.75
100266,2022-06-04,Tablet,Electronics,East,Amit,2,45898,67137.95
100267,2023-05-05,Smartwatch,Wearables,South,Rahul,1,39153,52316.79
100268,2024-02-24,Mouse,Accessories,West,Anjali,1,29359,40964.74
100269,2022-09-03,Tablet,Electronics,East,Anjali,1,9076,10097.52
100270,2024-11-28,Smartphone,Electronics,South,Karan,4,48652,59653.29
100271,2024-01-29,Tablet,Electronics,North,Vikram,2,73690,88942.22
100272,2023-06-22,Smartwatch,Wearables,East,Priya,4,22976,34000.76
100273,2024-07-09,Camera,Electronics,South,Priya,1,35402,41566.74
100274,2023-02-12,Smartwatch,Wearables,East,Amit,4,17568,24293.39
100275,2023-06-09,Keyboard,Accessories,North,Amit,4,110448,123381.62
100276,2024-04-07,Smartwatch,Wearables,North,Anjali,2,9642,11368.63
100277,2024-06-21,Laptop,Electronics,East,Vikram,3,18828,23260.84
100278,2022-02-05,Smartphone,Electronics,North,Sneha,4,66476,94249.83
100279,2023-11-16,Mouse,Accessories,South,Anjali,4,124276,175973.65
100280,2022-01-20,Laptop,Electronics,East,Priya,1,39096,57902.77
100281,2022-11-17,Camera,Electronics,East,Vikram,1,33563,49227.09
100282,2023-05-27,Headphones,Accessories,North,Priya,1,33681,38147.3
100283,2023-02-04,Camera,Electronics,South,Neha,5,114200,163528.36
100284,2023-10-16,Smartphone,Electronics,East,Rahul,4,42748,54737.51
100285,2024-08-29,Tablet,Electronics,East,Neha,1,7168,10367.47
100286,2023-04-16,Smartwatch,Wearables,North,Neha,2,31688,35988.52
100287,2024-04-13,Headphones,Accessories,North,Priya,5,43475,62130.45
100288,2023-12-28,Smartphone,Electronics,South,Sneha,3,51183,59569.69
100289,2024-05-03,Laptop,Electronics,South,Anjali,4,150488,185632.46
100290,2022-02-20,Smartwatch,Wearables,North,Anjali,4,91192,101363.5
100291,2023-07-29,Camera,Electronics,South,Vikram,2,77500,89085.57
100292,2022-05-30,Laptop,Electronics,West,Vikram,3,49728,63566.82
100293,2022-11-10,Smartphone,Electronics,West,Rahul,3,47628,67981.13
100294,2023-07-24,Smartphone,Electronics,North,Priya,5,182695,257502.74
100295,2022-11-01,Camera,Electronics,East,Neha,4,23568,28143.0
100296,2023-11-13,Headphones,Accessories,North,Neha,1,27606,32041.63
100297,2024-04-17,Camera,Electronics,North,Vikram,2,29618,37191.48
100298,2024-12-13,Tablet,Electronics,North,Vikram,2,50618,73563.51
100299,2024-09-29,Laptop,Electronics,East,Priya,2,2386,2711.86
100300,2023-03-20,Headphones,Accessories,West,Amit,2,68874,90718.46
100301,2023-09-05,Smartwatch,Wearables,South,Amit,1,29733,33762.51
100302,2024-09-19,Keyboard,Accessories,West,Priya,1,9123,11751.2
100303,2022-09-21,Tablet,Electronics,South,Karan,5,48370,55660.16
100304,2024-12-12,Headphones,Accessories,South,Karan,4,47408,53672.25
100305,2024-09-30,Keyboard,Accessories,North,Amit,1,6030,7093.33
100306,2022-01-05,Keyboard,Accessories,North,Rahul,5,27460,33009.73
100307,2024-02-13,Laptop,Electronics,South,Sneha,3,71562,86626.24
100308,2024-05-26,Smartphone,Electronics,East,Neha,4,15248,20708.42
100309,2024-09-18,Smartwatch,Wearables,East,Vikram,1,4818,5405.76
100310,2024-06-02,Camera,Electronics,East,Rahul,3,104868,118744.51
100311,2022-02-16,Laptop,Electronics,East,Vikram,5,4835,5683.46
100312,2024-05-16,Tablet,Electronics,North,Amit,1,27692,40120.87
100313,2024-04-02,Mouse,Accessories,West,Anjali,1,35690,48232.96
100314,2024-07-24,Keyboard,Accessories,West,Priya,3,72489,100915.41
100315,2023-10-18,Tablet,Electronics,South,Karan,1,31746,39623.61
100316,2022-09-26,Keyboard,Accessories,East,Amit,2,75978,90055.82
100317,2023-01-05,Smartphone,Electronics,North,Rahul,1,28773,32087.2
100318,2023-09-28,Mouse,Accessories,North,Rahul,4,119892,155309.81
100319,2023-10-19,Smartphone,Electronics,North,Sneha,3,42537,56561.98
100320,2022-04-30,Smartwatch,Wearables,South,Vikram,4,111780,163064.79
100321,2024-04-10,Camera,Electronics,North,Amit,5,91850,133443.1
100322,2024-12-17,Smartwatch,Wearables,South,Neha,4,105968,134566.01
100323,2024-01-11,Smartphone,Electronics,South,Rahul,2,59866,75995.77
100324,2022-04-27,Smartphone,Electronics,South,Neha,2,23076,26870.83
100325,2024-03-01,Tablet,Electronics,South,Neha,4,105732,127193.44
100326,2024-10-09,Smartphone,Electronics,North,Vikram,5,148680,218599.06
100327,2024-12-17,Mouse,Accessories,North,Priya,1,10270,11876.38
100328,2023-09-26,Mouse,Accessories,West,Amit,2,8498,12640.6
100329,2023-05-28,Headphones,Accessories,North,Amit,4,143084,186280.4
100330,2024-03-12,Keyboard,Accessories,East,Neha,4,33420,42865.92
100331,2023-07-14,Laptop,Electronics,East,Priya,4,95756,112020.67
100332,2023-05-03,Smartphone,Electronics,South,Anjali,1,30790,42016.54
100333,2024-06-15,Smartwatch,Wearables,South,Rahul,3,34803,44684.9
100334,2023-12-05,Camera,Electronics,South,Rahul,5,138700,173134.39
100335,2023-08-04,Keyboard,Accessories,West,Amit,3,51849,62519.86
100336,2024-02-29,Keyboard,Accessories,South,Vikram,5,136545,153830.88
100337,2024-05-10,Camera,Electronics,West,Vikram,5,92115,120461.66
100338,2022-09-04,Camera,Electronics,South,Neha,4,62104,76087.54
100339,2022-06-03,Keyboard,Accessories,East,Priya,2,48138,66581.89
100340,2024-09-23,Headphones,Accessories,South,Priya,4,85572,118894.5
100341,2023-11-28,Smartwatch,Wearables,North,Rahul,1,22935,28275.25
100342,2024-12-28,Headphones,Accessories,South,Rahul,5,186960,255695.52
100343,2024-12-06,Smartphone,Electronics,North,Vikram,2,65798,79185.93
100344,2024-10-05,Laptop,Electronics,North,Karan,5,128680,178977.09
100345,2022-04-04,Camera,Electronics,North,Karan,5,138495,153235.14
100346,2024-08-15,Mouse,Accessories,North,Neha,4,83336,96723.39
100347,2024-10-08,Smartwatch,Wearables,West,Karan,2,67434,80786.17
100348,2023-03-29,Camera,Electronics,West,Priya,2,31068,43780.22
100349,2024-06-30,Headphones,Accessories,South,Karan,5,157925,177910.49
100350,2022-08-06,Tablet,Electronics,South,Anjali,2,19884,23368.13
100351,2023-04-19,Smartphone,Electronics,West,Amit,2,26286,32685.32
100352,2023-03-08,Laptop,Electronics,South,Amit,4,142276,157025.75
100353,2022-12-07,Smartphone,Electronics,South,Sneha,3,24630,34601.42
100354,2023-07-05,Tablet,Electronics,West,Rahul,1,39060,51717.08
100355,2022-12-23,Laptop,Electronics,West,Rahul,3,23148,33802.37
100356,2022-01-23,Tablet,Electronics,South,Vikram,2,24424,27169.56
100357,2023-06-06,Smartphone,Electronics,West,Neha,5,27025,32661.23
100358,2024-03-12,Headphones,Accessories,East,Anjali,1,39267,54679.32
100359,2024-02-01,Keyboard,Accessories,North,Amit,1,28430,38950.8
100360,2023-03-18,Smartphone,Electronics,North,Sneha,5,158460,189711.95
100361,2024-02-08,Smartphone,Electronics,East,Anjali,1,24006,32126.63
100362,2024-10-12,Smartphone,Electronics,East,Neha,5,38940,55197.57
100363,2023-05-31,Smartwatch,Wearables,South,Neha,1,30511,33969.49
100364,2024-11-05,Tablet,Electronics,South,Anjali,3,48258,66936.32
100365,2024-03-02,Mouse,Accessories,North,Vikram,1,32900,39507.6
100366,2022-12-02,Tablet,Electronics,South,Karan,4,8268,12229.53
100367,2022-09-15,Camera,Electronics,North,Rahul,5,7970,10482.85
100368,2023-05-12,Tablet,Electronics,South,Neha,1,11635,12953.88
100369,2024-06-14,Camera,Electronics,South,Anjali,5,70040,88346.51
100370,2022-06-09,Smartwatch,Wearables,North,Neha,4,40736,60555.07
100371,2024-05-01,Headphones,Accessories,East,Rahul,1,27747,38627.96
100372,2023-11-21,Camera,Electronics,East,Vikram,1,6691,8164.3
100373,2023-01-15,Smartphone,Electronics,South,Rahul,4,73368,97587.28
100374,2024-08-14,Headphones,Accessories,East,Amit,4,34184,45794.27
100375,2023-11-22,Keyboard,Accessories,South,Rahul,4,21736,24112.6
